Time,index,reftemp,sens448,sens449,sens450,sens451,sens452,,Position,reftemp,sens448,sens449,sens450,sens451,sens452
1563227157,0,268,588,752,257,262,264,,0,"26,8","58,8","75,2","25,7","26,2","26,4"
1563227158,1,268,584,759,260,265,261,,"0,07535","26,8","58,4","75,9",26,"26,5","26,1"
1563227159,2,270,581,767,261,258,265,,"0,1507",27,"58,1","76,7","26,1","25,8","26,5"
1563227160,3,270,586,771,261,259,261,,"0,22605",27,"58,6","77,1","26,1","25,9","26,1"
1563227161,4,271,586,771,261,259,261,,"0,3014","27,1","58,6","77,1","26,1","25,9","26,1"
1563227162,5,271,602,778,266,257,259,,"0,37675","27,1","60,2","77,8","26,6","25,7","25,9"
1563227163,6,272,603,785,271,264,263,,"0,4521","27,2","60,3","78,5","27,1","26,4","26,3"
1563227165,7,272,602,782,267,263,257,,"0,52745","27,2","60,2","78,2","26,7","26,3","25,7"
1563227166,8,272,589,796,251,263,178,,"0,6028","27,2","58,9","79,6","25,1","26,3","17,8"
1563227167,9,272,497,722,242,32767,403,,"0,67815","27,2","49,7","72,2","24,2","3276,7","40,3"
1563227168,10,274,497,722,242,32767,403,,"0,7535","27,4","49,7","72,2","24,2","3276,7","40,3"
1563227169,11,274,561,764,265,264,260,,"0,82885","27,4","56,1","76,4","26,5","26,4",26
1563227170,12,275,600,795,268,260,262,,"0,9042","27,5",60,"79,5","26,8",26,"26,2"
1563227172,13,279,615,802,264,258,259,,"0,97955","27,9","61,5","80,2","26,4","25,8","25,9"
1563227173,14,278,607,794,274,264,264,,"1,0549","27,8","60,7","79,4","27,4","26,4","26,4"
1563227174,15,278,646,797,271,255,261,,"1,13025","27,8","64,6","79,7","27,1","25,5","26,1"
1563227175,16,276,646,797,271,255,261,,"1,2056","27,6","64,6","79,7","27,1","25,5","26,1"
1563227176,17,276,618,797,274,261,258,,"1,28095","27,6","61,8","79,7","27,4","26,1","25,8"
1563227177,18,276,614,795,276,260,256,,"1,3563","27,6","61,4","79,5","27,6",26,"25,6"
1563227179,19,276,625,798,273,256,260,,"1,43165","27,6","62,5","79,8","27,3","25,6",26
1563227180,20,281,624,802,269,257,266,,"1,507","28,1","62,4","80,2","26,9","25,7","26,6"
1563227181,21,281,622,778,268,259,258,,"1,58235","28,1","62,2","77,8","26,8","25,9","25,8"
1563227182,22,282,626,800,277,257,260,,"1,6577","28,2","62,6",80,"27,7","25,7",26
1563227183,23,282,634,798,277,260,263,,"1,73305","28,2","63,4","79,8","27,7",26,"26,3"
1563227184,24,283,638,802,270,261,259,,"1,8084","28,3","63,8","80,2",27,"26,1","25,9"
1563227185,25,283,632,802,277,260,261,,"1,88375","28,3","63,2","80,2","27,7",26,"26,1"
1563227186,26,283,904,929,281,259,258,,"1,9591","28,3","90,4","92,9","28,1","25,9","25,8"
1563227187,27,284,631,803,278,258,266,,"2,03445","28,4","63,1","80,3","27,8","25,8","26,6"
1563227188,28,284,617,801,275,263,256,,"2,1098","28,4","61,7","80,1","27,5","26,3","25,6"
1563227189,29,285,622,806,282,261,269,,"2,18515","28,5","62,2","80,6","28,2","26,1","26,9"
1563227190,30,285,622,803,281,258,270,,"2,2605","28,5","62,2","80,3","28,1","25,8",27
1563227191,31,285,622,803,281,258,270,,"2,33585","28,5","62,2","80,3","28,1","25,8",27
1563227192,32,285,622,801,277,256,273,,"2,4112","28,5","62,2","80,1","27,7","25,6","27,3"
1563227193,33,287,875,921,278,267,267,,"2,48655","28,7","87,5","92,1","27,8","26,7","26,7"
1563227195,34,288,617,802,283,266,261,,"2,5619","28,8","61,7","80,2","28,3","26,6","26,1"
1563227196,35,288,617,811,281,258,268,,"2,63725","28,8","61,7","81,1","28,1","25,8","26,8"
1563227197,36,288,620,813,285,261,259,,"2,7126","28,8",62,"81,3","28,5","26,1","25,9"
1563227198,37,294,620,813,285,261,259,,"2,78795","29,4",62,"81,3","28,5","26,1","25,9"
1563227199,38,294,598,833,280,260,264,,"2,8633","29,4","59,8","83,3",28,26,"26,4"
1563227200,39,296,590,842,280,265,268,,"2,93865","29,6",59,"84,2",28,"26,5","26,8"
1563227202,40,303,566,853,287,264,263,,"3,014","30,3","56,6","85,3","28,7","26,4","26,3"
1563227203,41,305,576,857,288,263,264,,"3,08935","30,5","57,6","85,7","28,8","26,3","26,4"
1563227204,42,305,572,864,287,261,271,,"3,1647","30,5","57,2","86,4","28,7","26,1","27,1"
1563227205,43,304,572,864,287,261,271,,"3,24005","30,4","57,2","86,4","28,7","26,1","27,1"
1563227206,44,304,567,872,292,265,273,,"3,3154","30,4","56,7","87,2","29,2","26,5","27,3"
