Time,index,reftemp,sens448,sens449,sens450,sens451,sens452,,Position,reftemp,sens448,sens449,sens450,sens451,sens452
1563228425,0,285,241,268,309,266,268,,0,"28,5","24,1","26,8","30,9","26,6","26,8"
1563228426,1,285,238,269,313,267,273,,"0,07535","28,5","23,8","26,9","31,3","26,7","27,3"
1563228427,2,282,238,269,313,267,273,,"0,1507","28,2","23,8","26,9","31,3","26,7","27,3"
1563228428,3,282,243,265,316,271,275,,"0,22605","28,2","24,3","26,5","31,6","27,1","27,5"
1563228429,4,284,233,266,308,270,269,,"0,3014","28,4","23,3","26,6","30,8",27,"26,9"
1563228431,5,287,247,264,315,274,275,,"0,37675","28,7","24,7","26,4","31,5","27,4","27,5"
1563228432,6,289,178,164,147,71,272,,"0,4521","28,9","17,8","16,4","14,7","7,1","27,2"
1563228433,7,289,246,265,310,268,275,,"0,52745","28,9","24,6","26,5",31,"26,8","27,5"
1563228434,8,288,246,265,310,268,275,,"0,6028","28,8","24,6","26,5",31,"26,8","27,5"
1563228435,9,288,246,264,316,268,269,,"0,67815","28,8","24,6","26,4","31,6","26,8","26,9"
1563228436,10,287,256,265,319,274,274,,"0,7535","28,7","25,6","26,5","31,9","27,4","27,4"
1563228438,11,287,247,264,310,272,269,,"0,82885","28,7","24,7","26,4",31,"27,2","26,9"
1563228439,12,285,246,255,303,258,265,,"0,9042","28,5","24,6","25,5","30,3","25,8","26,5"
1563228440,13,285,251,269,315,260,274,,"0,97955","28,5","25,1","26,9","31,5",26,"27,4"
1563228441,14,286,252,269,319,270,277,,"1,0549","28,6","25,2","26,9","31,9",27,"27,7"
1563228442,15,286,249,269,321,262,275,,"1,13025","28,6","24,9","26,9","32,1","26,2","27,5"
1563228443,16,288,249,269,321,262,275,,"1,2056","28,8","24,9","26,9","32,1","26,2","27,5"
1563228444,17,288,247,263,321,264,266,,"1,28095","28,8","24,7","26,3","32,1","26,4","26,6"
1563228445,18,286,246,268,318,264,273,,"1,3563","28,6","24,6","26,8","31,8","26,4","27,3"
1563228447,19,288,245,270,318,259,271,,"1,43165","28,8","24,5",27,"31,8","25,9","27,1"
1563228448,20,287,226,237,286,250,252,,"1,507","28,7","22,6","23,7","28,6",25,"25,2"
1563228449,21,287,247,272,317,259,270,,"1,58235","28,7","24,7","27,2","31,7","25,9",27
1563228450,22,284,247,272,317,259,270,,"1,6577","28,4","24,7","27,2","31,7","25,9",27
1563228451,23,284,254,266,313,263,268,,"1,73305","28,4","25,4","26,6","31,3","26,3","26,8"
1563228452,24,284,245,267,317,264,266,,"1,8084","28,4","24,5","26,7","31,7","26,4","26,6"
1563228454,25,303,246,265,319,258,270,,"1,88375","30,3","24,6","26,5","31,9","25,8",27
1563228455,26,333,251,263,324,265,265,,"1,9591","33,3","25,1","26,3","32,4","26,5","26,5"
1563228456,27,333,249,266,336,267,268,,"2,03445","33,3","24,9","26,6","33,6","26,7","26,8"
1563228457,28,331,243,269,348,263,269,,"2,1098","33,1","24,3","26,9","34,8","26,3","26,9"
1563228458,29,331,242,270,361,264,269,,"2,18515","33,1","24,2",27,"36,1","26,4","26,9"
1563228459,30,341,242,270,361,264,269,,"2,2605","34,1","24,2",27,"36,1","26,4","26,9"
1563228460,31,341,247,265,388,263,267,,"2,33585","34,1","24,7","26,5","38,8","26,3","26,7"
1563228462,32,345,249,269,397,264,264,,"2,4112","34,5","24,9","26,9","39,7","26,4","26,4"
1563228463,33,401,252,261,397,263,263,,"2,48655","40,1","25,2","26,1","39,7","26,3","26,3"
1563228464,34,401,249,267,403,264,268,,"2,5619","40,1","24,9","26,7","40,3","26,4","26,8"
1563228465,35,384,244,267,409,262,270,,"2,63725","38,4","24,4","26,7","40,9","26,2",27
